author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/295544053/,Москва,sale,flat,21,29,1,39.0,18500000,Даниловский,Восточная ,4Ак5,Автозаводская,RiverSky
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/298883995/,Москва,sale,flat,9,58,1,32.8,18500000,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,Wellton Towers
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/298018047/,Москва,sale,flat,10,21,1,40.0,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
ID 114249157,homeowner,https://www.cian.ru/sale/flat/299629196/,Москва,sale,flat,12,14,1,39.3,18500000,Гагаринский, Вавилова,44К4,Академическая,
Дмитрий Ломовцев,realtor,https://www.cian.ru/sale/flat/300571753/,Москва,sale,flat,9,20,1,43.1,19500000,Лефортово,Солдатский переулок,10,Лефортово,Лефорт
ID 100242798,homeowner,https://www.cian.ru/sale/flat/299697358/,Москва,sale,flat,5,14,1,40.9,19500000,Люблино,Совхозная ,12,Люблино,
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/295391249/,Москва,sale,flat,10,31,1,41.7,19990000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
ЭКСПРЕСС Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296757890/,Москва,sale,flat,2,5,1,46.0,4490000,,,,,
Good Deal,real_estate_agent,https://www.cian.ru/sale/flat/294166110/,Москва,sale,flat,3,5,1,43.0,4450000,пос. Рогово, Березки,8к3,,Кутузовские берёзы
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298610436/,Москва,sale,flat,7,17,-1,37.7,4500000,, Москвитина,3к2,Рассказовка,Город-парк Первый Московский
УОЛЛ СТРИТ,real_estate_agent,https://www.cian.ru/sale/flat/301964694/,Москва,sale,flat,6,6,1,26.4,4500000,Восточное Измайлово,Первомайская ,126,Первомайская,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300934690/,Москва,sale,flat,1,5,1,17.8,4500000,Хорошевский,3-я Магистральная ,20Б,Шелепиха,
БЕСТ-Недвижимость на Баррикадной,real_estate_agent,https://www.cian.ru/sale/flat/297697989/,Москва,sale,flat,3,3,1,15.0,4500000,Дмитровский,Яхромская ,3,Яхромская,
Оксана Волошина,realtor,https://www.cian.ru/sale/flat/301067217/,Москва,sale,flat,6,12,-1,35.0,4500000,Перово, Металлургов,48К4,Перово,
ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/301257953/,Москва,sale,flat,3,3,1,13.0,4600000,Коньково,Миклухо-Маклая ,42Б,Беляево,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/288041113/,Москва,sale,flat,3,6,1,18.0,4650000,Чертаново Северное,Варшавское шоссе,125С1,Южная,
Качанова и партнеры,real_estate_agent,https://www.cian.ru/sale/flat/298263988/,Москва,sale,flat,5,16,-1,42.3,4750000,Бирюлево Восточное,Загорьевская ,29,,
Наталья Мишина,realtor,https://www.cian.ru/sale/flat/298060727/,Москва,sale,flat,1,3,1,38.3,4850000,, Генерала Донскова,25к6,Апрелевка,Борисоглебское
Денис Каргин,realtor,https://www.cian.ru/sale/flat/300788942/,Москва,sale,flat,4,5,1,20.1,4999999,Марфино,Гостиничная ,5,Окружная,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/300710740/,Москва,sale,flat,4,5,1,20.0,4999999,Марфино,Гостиничная ,5,Окружная,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/282683054/,Москва,sale,flat,4,5,1,20.1,4999999,Марфино,Гостиничная ,5,Окружная,
Самолет Плюс МСК-Север,real_estate_agent,https://www.cian.ru/sale/flat/301783040/,Москва,sale,flat,4,5,1,16.4,5000000,Головинский,Автомоторная ,4АС21,Лихоборы,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/289694246/,Москва,sale,flat,5,12,-1,32.8,5000000,Зябликово,Шипиловская ,44/27,Шипиловская,
PORTAL ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301563147/,Москва,sale,flat,3,3,1,35.8,5000000,, Десятинная,8,Апрелевка,Борисоглебское
Capital Mars,real_estate_agent,https://www.cian.ru/sale/flat/301302101/,Москва,sale,flat,2,8,1,15.8,5000000,Савеловский,Бутырская ,53К3,Дмитровская,
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299730921/,Москва,sale,flat,4,4,1,30.1,5000000,,,2,Прокшино,
Денис Камышанский,realtor,https://www.cian.ru/sale/flat/300122469/,Москва,sale,flat,6,16,1,26.2,5000000,,,23А,Апрелевка,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300153461/,Москва,sale,flat,4,5,1,19.7,5015000,Марфино,Гостиничная ,5,Окружная,
Правовой центр жилья-эстейт,real_estate_agent,https://www.cian.ru/sale/flat/300062146/,Москва,sale,flat,4,12,-1,34.7,5000000,Таганский,Таганская ,22,Марксистская,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/301894113/,Москва,sale,flat,4,5,1,20.4,5099999,Марфино,Гостиничная ,5,Окружная,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/300667780/,Москва,sale,flat,3,5,1,20.3,5099999,Марфино,Гостиничная ,5,Окружная,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299849676/,Москва,sale,flat,1,3,1,36.2,5120000,, Генерала Донскова,27к1,Апрелевка,Борисоглебское
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299856723/,Москва,sale,flat,3,3,1,35.1,5125000,, Генерала Донскова,27к1,Апрелевка,Борисоглебское
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298901365/,Москва,sale,flat,2,3,1,35.1,5112000,, Генерала Донскова,27к1,Апрелевка,Борисоглебское
Денис Каргин,realtor,https://www.cian.ru/sale/flat/300667437/,Москва,sale,flat,4,5,1,20.5,5124999,Марфино,Гостиничная ,5,Окружная,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/301893426/,Москва,sale,flat,5,5,1,20.5,5124999,Марфино,Гостиничная ,5,Окружная,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/293859596/,Москва,sale,flat,2,5,1,20.6,5149999,Марфино,Гостиничная ,5,Окружная,
Наталья Ворожейкина,realtor,https://www.cian.ru/sale/flat/301230391/,Москва,sale,flat,1,2,1,31.0,5100000,,,10,Подольск,
DREAM HOUSE,real_estate_agent,https://www.cian.ru/sale/flat/300690911/,Москва,sale,flat,1,3,1,35.5,5150000,, Генерала Донскова,23к1,Апрелевка,Борисоглебское
DREAM HOUSE,real_estate_agent,https://www.cian.ru/sale/flat/291480860/,Москва,sale,flat,1,3,1,35.5,5150000,Новофедоровское поселение, Десятинная,5,,Борисоглебское
DREAM HOUSE,real_estate_agent,https://www.cian.ru/sale/flat/292794694/,Москва,sale,flat,1,3,1,35.5,5150000,, Генерала Донскова,19,Апрелевка,Борисоглебское
Московский Союз Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/293971061/,Москва,sale,flat,16,16,1,16.9,5180000,Ярославский,Ярославское шоссе,116К2,ВДНХ,
Capital Mars,real_estate_agent,https://www.cian.ru/sale/flat/297040416/,Москва,sale,flat,4,16,1,18.5,5200000,Ярославский,Ярославское шоссе,116К2,ВДНХ,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301922310/,Москва,sale,flat,1,4,1,33.0,5200000,, Ирландская,4к2,Подольск,Ирландский квартал
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299416462/,Москва,sale,flat,2,4,1,36.6,5200000,, Ирландская,4к1,Подольск,Ирландский квартал
Московский Союз Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/292204416/,Москва,sale,flat,4,16,1,18.5,5200000,Ярославский,Ярославское шоссе,116К2,ВДНХ,
Илья Лыжков,realtor,https://www.cian.ru/sale/flat/298465782/,Москва,sale,flat,5,5,1,30.2,5200000,с. Кленово, Мичурина,3,,
Ольга Кузнецова,realtor,https://www.cian.ru/sale/flat/301423882/,Москва,sale,flat,2,16,1,22.4,5250000,Отрадное, Римского-Корсакова,14,Отрадное,
Дмитрий Дмитриев,realtor,https://www.cian.ru/sale/flat/300879496/,Москва,sale,flat,4,5,1,18.9,5250000,Очаково-Матвеевское,Рябиновая ,45К2,Озёрная,
АРТ,real_estate_agent,https://www.cian.ru/sale/flat/294771543/,Москва,sale,flat,1,16,1,19.0,5300000,Ярославский,Ярославское шоссе,116К2,ВДНХ,
Capital Mars,real_estate_agent,https://www.cian.ru/sale/flat/281954303/,Москва,sale,flat,1,12,1,23.0,5333000,Ивановское,Челябинская ,14,Новогиреево,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299925901/,Москва,sale,flat,5,5,1,30.0,5390000,,,13,Апрелевка,
Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/292533826/,Москва,sale,flat,2,6,1,31.0,5350000,Чертаново Северное,Варшавское шоссе,125,Южная,
Елена Мирова,realtor,https://www.cian.ru/sale/flat/299743847/,Москва,sale,flat,1,7,1,26.4,5400000,Южнопортовый,1-я Дубровская ,14,Дубровка,
Наталья Мишина,realtor,https://www.cian.ru/sale/flat/298276318/,Москва,sale,flat,1,3,1,41.45,5400000,, Генерала Донскова,25к6,Апрелевка,Борисоглебское
ИНСТАР Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299884766/,Москва,sale,flat,2,5,1,19.8,5445000,Марфино,Гостиничный проезд,8К1,Окружная,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/301672379/,Москва,sale,flat,3,3,1,40.4,5400000,Новофедоровское поселение, Генерала Донскова,27к5,,Борисоглебское
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/297265190/,Москва,sale,flat,8,9,1,36.0,5495000,Южное Тушино, Свободы,35С18,Сходненская,
Наталья Мишина,realtor,https://www.cian.ru/sale/flat/298104527/,Москва,sale,flat,3,3,1,41.5,5480000,, Генерала Донскова,25к5,Апрелевка,Борисоглебское
SRG,real_estate_agent,https://www.cian.ru/sale/flat/298822303/,Москва,sale,flat,1,4,1,40.4,5499000,, Ирландская,4к2,Подольск,Ирландский квартал
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/298574101/,Москва,sale,flat,5,5,1,36.1,5499000,, Юбилейная,12к1,Коммунарка,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298901242/,Москва,sale,flat,2,3,1,45.4,5539000,, Генерала Донскова,27к1,Апрелевка,Борисоглебское
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299460844/,Москва,sale,flat,3,5,1,16.0,5500000,Кузьминки,Окская ,28К2,Окская,My Space на Окской
Capital Mars,real_estate_agent,https://www.cian.ru/sale/flat/298790582/,Москва,sale,flat,2,8,1,16.3,5500000,Савеловский,Бутырская ,53К3,Дмитровская,
Андрей Шкот,realtor,https://www.cian.ru/sale/flat/301917400/,Москва,sale,flat,5,5,1,29.9,5500000,,,,,
БЭСТ ФАКТОРИ НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298465903/,Москва,sale,flat,2,3,1,37.6,5500000,, Генерала Донскова,29к4,Апрелевка,Борисоглебское
Наталья Мишина,realtor,https://www.cian.ru/sale/flat/298277022/,Москва,sale,flat,3,3,1,41.5,5500000,, Генерала Донскова,25к6,Апрелевка,Борисоглебское
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300433015/,Москва,sale,flat,1,5,1,21.0,5500000,Пресненский,Новопресненский переулок,7С2,Краснопресненская,
Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/299105794/,Москва,sale,flat,12,12,-1,34.2,5500000,Чертаново Южное, Подольских Курсантов,2к1,Пражская,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/301160669/,Москва,sale,flat,4,6,1,15.9,5500000,Вешняки,аллея Первой Маевки,15с1,Вешняки,
Upright Estate,real_estate_agent,https://www.cian.ru/sale/flat/296573878/,Москва,sale,flat,2,3,1,35.0,5500000,, Вышгородская,14,Апрелевка,Борисоглебское
Сергей Горелкин,realtor,https://www.cian.ru/sale/flat/300288478/,Москва,sale,flat,1,6,1,28.0,5600000,, Жемчужная,1к6,Филатов Луг,Марьино Град
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/299777079/,Москва,sale,flat,1,4,1,33.4,5600000,, Ирландская,4к1,Подольск,Ирландский квартал
UNO-Estate,real_estate_agent,https://www.cian.ru/sale/flat/296522814/,Москва,sale,flat,4,4,1,15.0,5600000,Соколиная гора,Щербаковская ,41А,Семёновская,
Юлия Шульга,realtor,https://www.cian.ru/sale/flat/300728874/,Москва,sale,flat,4,4,1,40.0,5600000,, Ирландская,4к1,Подольск,Ирландский квартал
Елена Колокольцева,realtor,https://www.cian.ru/sale/flat/296484240/,Москва,sale,flat,6,9,1,19.0,5699000,,проспект Куприна,38к2,Бунинская аллея,Эко Бунино
Денис Каргин,realtor,https://www.cian.ru/sale/flat/294911919/,Москва,sale,flat,3,3,1,22.7,5699999,Головинский,Солнечногорский проезд,17,Моссельмаш,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/294230460/,Москва,sale,flat,2,3,1,23.1,5699999,Головинский,Солнечногорский проезд,17,Моссельмаш,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296486978/,Москва,sale,flat,1,14,1,20.7,5700000,Братеево,Ключевая ,10К2,Алма-Атинская,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297971520/,Москва,sale,flat,1,6,-1,43.0,5700000,Басманный,Большая Почтовая ,18/20К6,Электрозаводская,
Аукционный Дом ТОРГИ-РУ,real_estate_agent,https://www.cian.ru/sale/flat/301741509/,Москва,sale,flat,5,14,1,38.1,5725170,Ховрино,Клинская ,18к1,Ховрино,
Адрес,real_estate_agent,https://www.cian.ru/sale/flat/296939878/,Москва,sale,flat,5,6,1,16.2,5700000,Перово, 2-я Энтузиастов,5к39,Андроновка,
СмениКварти.Ру,real_estate_agent,https://www.cian.ru/sale/flat/277531258/,Москва,sale,flat,8,9,1,27.6,5700000,Южное Тушино, Свободы,35С18,Сходненская,
ИНСТАР Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299880337/,Москва,sale,flat,3,5,1,19.4,5723000,Марфино,Гостиничный проезд,6К2,Окружная,
Елена Бурлакова,realtor,https://www.cian.ru/sale/flat/295055602/,Москва,sale,flat,3,3,1,35.7,5700000,, Десятинная,23,Апрелевка,Борисоглебское
MY HOME,real_estate_agent,https://www.cian.ru/sale/flat/299095001/,Москва,sale,flat,1,5,1,18.8,5760000,Таганский, Талалихина,39,Пролетарская,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/294972720/,Москва,sale,flat,2,3,1,23.0,5799999,Головинский,Солнечногорский проезд,17,Моссельмаш,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300737127/,Москва,sale,flat,3,5,1,30.3,5800000,,,,,
Подмосковные вечера,real_estate_agent,https://www.cian.ru/sale/flat/275040150/,Москва,sale,flat,4,4,1,38.4,5800000,, Центральная,33,Крёкшино,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/299237703/,Москва,sale,flat,4,9,-1,31.5,6500000,Раменки, Столетова,4,Ломоносовский проспект,
Авенир,real_estate_agent,https://www.cian.ru/sale/flat/300934735/,Москва,sale,flat,3,4,1,37.4,6500000,, Ирландская,4к1,Подольск,Ирландский квартал
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301358657/,Москва,sale,flat,8,12,1,41.1,6550000,, Гореловская,3,Силикатная,
PORTAL ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/297989659/,Москва,sale,flat,4,5,1,36.0,6599999,, Прудовая,1а,Щербинка,
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/301503681/,Москва,sale,flat,1,14,1,26.3,6600000,Северное Бутово,Старобитцевская ,7,Бульвар Дмитрия Донского,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299028339/,Москва,sale,flat,3,3,1,34.4,6600000,, Героя России Чернышева,5,Филатов Луг,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300929882/,Москва,sale,flat,2,3,1,20.6,6600000,Нижегородский,шоссе Фрезер,17АС1,Нижегородская,
Татьяна Попова,realtor,https://www.cian.ru/sale/flat/292147309/,Москва,sale,flat,1,6,1,30.0,6600000,, Жемчужная,1к2,Филатов Луг,Марьино Град
Мечты сбываются,real_estate_agent,https://www.cian.ru/sale/flat/297086326/,Москва,sale,flat,2,8,1,32.2,6600000,, Золотошвейная,6,Филатов Луг,Цветочные Поляны
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/299009289/,Москва,sale,flat,4,5,1,16.2,6600000,Аэропорт,2-й Амбулаторный проезд,8С3,Красный Балтиец,
Гурам Базадзе,realtor,https://www.cian.ru/sale/flat/300654163/,Москва,sale,flat,16,17,1,36.6,6600000,, Текстильщиков,3к2,Крёкшино,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299709724/,Москва,sale,flat,9,9,1,22.0,6600000,, Золотошвейная,5,Филатов Луг,Цветочные Поляны
Светлана Ким,realtor,https://www.cian.ru/sale/flat/300121399/,Москва,sale,flat,4,7,1,36.64,6600000,, Медовая Долина,1к2,Санино,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/295685444/,Москва,sale,flat,3,3,1,20.0,6609260,Головинский,Солнечногорский проезд,17,Моссельмаш,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299249033/,Москва,sale,flat,3,3,1,43.6,6700000,, Джонатана Свифта,7,Подольск,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/297665782/,Москва,sale,flat,5,9,1,29.5,6688500,Люблино, Верхние Поля,27С2,Братиславская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298225520/,Москва,sale,flat,4,4,1,26.0,6700000,Аэропорт,2-й Амбулаторный проезд,8С3,Красный Балтиец,
Наталья Рыжова,realtor,https://www.cian.ru/sale/flat/299989614/,Москва,sale,flat,15,17,1,34.0,6700000,, Текстильщиков,3к2,Крёкшино,
Офис на Серпуховской,real_estate_agent,https://www.cian.ru/sale/flat/295334170/,Москва,sale,flat,4,5,1,36.0,6699999,, Прудовая,1,Щербинка,
Инна Ефремова,realtor,https://www.cian.ru/sale/flat/301927966/,Москва,sale,flat,5,9,1,27.0,6650000,Савёлки,Зеленоград,к702,Зеленоград — Крюково,
Ольга Оводова,realtor,https://www.cian.ru/sale/flat/286148739/,Москва,sale,flat,5,7,1,35.4,6700000,,,1к2,Рассказовка,Баркли Медовая Долина ЖК
Сити Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296475414/,Москва,sale,flat,1,4,1,19.0,6700000,Бабушкинский,Верхоянская ,10,Свиблово,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/301224161/,Москва,sale,flat,7,7,1,38.1,6700000,, Медовая Долина,2,Санино,Баркли Медовая долина
МЕЗОН,real_estate_agent,https://www.cian.ru/sale/flat/301166044/,Москва,sale,flat,17,19,1,35.1,6700000,,,40к1,Бунинская аллея,Санрайс
Московский Союз Недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/295180835/,Москва,sale,flat,9,16,1,20.0,6700000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Вероника,real_estate_agent,https://www.cian.ru/sale/flat/265206637/,Москва,sale,flat,2,5,1,42.0,6700000,пос. Рогово, Березки,10к2,,Кутузовские берёзы
Владимир Борисов,realtor,https://www.cian.ru/sale/flat/292352905/,Москва,sale,flat,3,3,1,34.0,6650000,Благодать кп, Генерала Трошева,20,,
Денис Каргин,realtor,https://www.cian.ru/sale/flat/301852194/,Москва,sale,flat,1,5,1,28.6,6749999,Марфино,Гостиничная ,5,Окружная,
